,year,electric_range,base_msrp,dol_v_id,geo_id,clusters,cluster
6,2019,12,36900,146830148,53077001000.0,0,pink
94,2016,93,31950,132370066,53071920100.0,0,pink
143,2014,208,69900,222335347,53033021904.0,0,pink
304,2018,14,54950,135760355,53015000802.0,0,pink
325,2014,208,69900,232164236,53033010402.0,0,pink
332,2014,208,69900,176021485,53033022803.0,0,pink
352,2013,208,69900,134299098,53033006300.0,0,pink
361,2016,93,31950,147089407,53067010200.0,0,pink
370,2018,17,52900,100503007,53033021904.0,0,pink
378,2013,208,69900,191841541,53033022401.0,0,pink
424,2018,17,52900,158520953,53033006400.0,0,pink
589,2016,93,31950,107822088,53033030310.0,0,pink
642,2016,93,31950,197356806,53033022401.0,0,pink
715,2019,15,55700,478042554,53033032318.0,0,pink
787,2012,265,59900,188032281,53011040904.0,0,pink
889,2017,93,32250,341749761,53033024901.0,0,pink
944,2018,14,54950,447189144,53033022300.0,0,pink
996,2019,15,55700,211611921,53033000500.0,0,pink
1036,2013,208,69900,196812423,53033021904.0,0,pink
1062,2019,17,52900,272967565,53033008700.0,0,pink
1108,2016,93,31950,172462559,53033029406.0,0,pink
1139,2010,245,110950,123892821,53033008101.0,0,pink
1160,2013,208,69900,116647926,53077001201.0,0,pink
1226,2014,208,69900,153962868,53033007800.0,0,pink
1243,2013,208,69900,103324966,53033032220.0,0,pink
1381,2016,93,31950,248114646,53033029408.0,0,pink
1436,2014,208,69900,122190463,53077003400.0,0,pink
1462,2016,93,31950,3481873,53035092600.0,0,pink
1492,2018,14,54950,348201605,53035090700.0,0,pink
1582,2016,93,31950,142034497,53033001100.0,0,pink
1729,2017,14,44100,177758332,53033021804.0,0,pink
1731,2018,19,64950,246215350,53033028600.0,0,pink
1738,2014,208,69900,476675475,53011041317.0,0,pink
1744,2016,93,31950,153963589,53033001400.0,0,pink
1792,2013,208,69900,111479035,53035090700.0,0,pink
1879,2018,14,54950,120863102,53033024001.0,0,pink
1902,2014,208,69900,228564059,53033029602.0,0,pink
1955,2013,208,69900,104916234,53033032324.0,0,pink
2010,2013,208,69900,197327266,53033029405.0,0,pink
2144,2010,245,110950,137365245,53033023806.0,0,pink
